Key,FilePath,AuthorName,AugmentationSource,RegionType,ClassIdxGroundTruth,UserString
98ADCA12-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass1 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA13-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass1.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA14-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass7 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA15-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass7.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA16-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass8 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA17-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass8.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA18-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass9 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA19-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass9.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1A-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass10 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1B-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass10.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1C-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass11 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1D-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass11.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1E-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass17 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA1F-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass17.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA20-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass18.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA21-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass19 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA22-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass19.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA23-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass20 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA24-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass20.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA25-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass22 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA26-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass22.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA27-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass23 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA28-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass24.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA29-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass26 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2A-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass26.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2B-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass27 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2C-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass27.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2D-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass28 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2E-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass28.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA2F-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass29 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA30-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass29.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA31-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass30 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA32-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass30.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA33-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass32.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA34-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass33 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA35-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass33.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA36-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass36 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA37-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass36.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA38-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass37 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA39-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass37.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3A-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass38.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3B-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass40 - Copy.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3C-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass40.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3D-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass43.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3E-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass44.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA3F-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass45.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA40-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass46.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA41-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass47.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA42-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass48.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA43-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass49.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA44-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass50.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA45-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass51.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA46-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass53.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA47-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass54.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA48-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass55.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA49-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass56.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA4A-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass57.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA4B-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass58.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA4C-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass60.jpg,G,NOT_AUGMENTED,WholeImage,0,
98ADCA4D-3A41-11EA-8FA0-7845C4C5C539,C:\Hackatown2020\recyclable\glass\Bottle\glass61.jpg,G,NOT_AUGMENTED,WholeImage,0,
